"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Texts"
"91","Center02_Strip","","point","1189.556632921564,-686.7908422335818,2448.645502868458","2_24"
"92","Center02_Strip","","point","1198.93722656878,-692.2067305009601,2347.438039506866","2_23"
"93","Center02_Strip","","point","1209.014494820496,-698.0248440387847,2246.319919573169","2_22"
"94","Center02_Strip","","point","1219.787801680907,-704.2448156547055,2145.297524085853","2_21"
"95","Center02_Strip","","point","1231.256465658043,-710.8662518891507,2044.377243793408","2_20"
"96","Center02_Strip","","point","1243.41976151497,-717.8887340263805,1943.565460566838","2_19"
"97","Center02_Strip","","point","1256.276920092106,-725.3118179919035,1842.868549345834","2_18"
"98","Center02_Strip","","point","1269.827128358264,-733.1350343819455,1742.292877735966","2_17"
"99","Center02_Strip","","point","1284.069529464464,-741.3578884945167,1641.844805606391","2_16"
"100","Center02_Strip","","point","1299.003222800507,-749.9798603620768,1541.53068468809","2_15"
"101","Center02_Strip","","point","1314.627264054312,-759.0004047857911,1441.356858172681","2_14"
"102","Center02_Strip","","point","1330.940665274004,-768.4189513713786,1341.329660311821","2_13"
"103","Center02_Strip","","point","1347.942394932759,-778.2349045665501,1241.455416017219","2_12"
"104","Center02_Strip","","point","1365.631377923685,-788.4476436580525,1141.740440863032","2_11"
"105","Center02_Strip","","point","1384.006515746846,-799.0565344266507,1042.190933712278","2_10"
"106","Center02_Strip","","point","1403.066607083003,-810.0608832903603,942.8134028518471","2_9"
"107","Center02_Strip","","point","1422.810465611261,-821.4600053264918,843.614027516164","2_8"
"108","Center02_Strip","","point","1443.236842105156,-833.2531792938107,744.5990838128989","2_7"
"109","Center02_Strip","","point","1464.344443742934,-845.4396587813295,645.7748377497485","2_6"
"110","Center02_Strip","","point","1486.131934075838,-858.0186721899983,547.1475450839221","2_5"
"111","Center02_Strip","","point","1508.597946965745,-870.9894307796036,448.7233909065997","2_4"
"112","Center02_Strip","","point","1531.741044195782,-884.3511041952476,350.5086757077514","2_3"
"113","Center02_Strip","","point","1555.559781929395,-898.1028588375065,252.5095267925075","2_2"
"114","Center02_Strip","","point","1580.732051602262,-912.6360755092518,154.9657543694893","2_1"
"115","Center02_Strip","","point","3.865352482534945e-12,1301.631144943088,5802.031","1_57"
"116","Center02_Strip","","point","1.679515071176978e-11,1301.631144943088,5700.245288611424","1_56"
"117","Center02_Strip","","point","2.972494894100529e-11,1301.631144943088,5598.459577222842","1_55"
"118","Center02_Strip","","point","4.265474717024091e-11,1301.631144943089,5496.673865834262","1_54"
"119","Center02_Strip","","point","5.558454539947653e-11,1301.631144943089,5394.888154445681","1_53"
"120","Center02_Strip","","point","6.851434362871206e-11,1301.631144943089,5293.1024430571","1_52"
"121","Center02_Strip","","point","8.144414185794768e-11,1301.631144943089,5191.316731668517","1_51"
"122","Center02_Strip","","point","9.437394008718334e-11,1301.631144943088,5089.531020279935","1_50"
"123","Center02_Strip","","point","1.073037383164189e-10,1301.631144943089,4987.745308891353","1_49"
"124","Center02_Strip","","point","1.202335365456545e-10,1301.631144943089,4885.959597502771","1_48"
