"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"125","MotorDown","","point","-1900.000000000008,-3290.896534380846,7020.020000000004","nest_bird","32_1"
"126","MotorDown","","point","-2032.499668415192,-3520.392692061966,7919.749910714278","nest_bird","32_2"
"127","MotorDown","","point","-2030.290483514738,-3516.566271571072,7020.020000000004","nest_bird","32_3"
"128","MotorDown","","point","-2018.749834207567,-3496.57728061872,2319.884955357164","nest_bird","32_4"
"129","MotorDown","","point","-2269.202648470591,-3048.068132469146,7020.020000000004","nest_bird","33_1"
"130","MotorDown","","point","-2427.449279254385,-3260.630246605482,7919.749910714278","nest_bird","33_2"
"131","MotorDown","","point","-2424.810811766453,-3257.086169714012,7020.020000000004","nest_bird","33_3"
"132","MotorDown","","point","-2411.027615991242,-3238.572124776546,2319.884955357164","nest_bird","33_4"
"133","MotorDown","","point","-2607.71822390119,-2764.019837977563,7020.020000000003","nest_bird","34_1"
"134","MotorDown","","point","-2789.571802841788,-2956.773370622303,7919.749910714277","nest_bird","34_2"
"135","MotorDown","","point","-2786.539733512906,-2953.559564890406,7020.020000000003","nest_bird","34_3"
"136","MotorDown","","point","-2770.700385347662,-2936.77083666506,2319.884955357163","nest_bird","34_4"
"137","MotorDown","","point","-2910.968883852117,-2442.592916808827,7020.020000000004","nest_bird","35_1"
"138","MotorDown","","point","-3113.970153261232,-2612.93120709853,7919.749910714278","nest_bird","35_2"
"139","MotorDown","","point","-3110.585485627604,-2610.091133735499,7020.020000000004","nest_bird","35_3"
"140","MotorDown","","point","-3092.904185084118,-2595.254760970728,2319.884955357164","nest_bird","35_4"
"141","MotorDown","","point","-3174.853683369156,-2088.134116669041,7020.020000000004","nest_bird","36_1"
"142","MotorDown","","point","-3396.257399323436,-2233.75363144013,7919.749910714278","nest_bird","36_2"
"143","MotorDown","","point","-3392.565905208466,-2231.325697566101,7020.020000000004","nest_bird","36_3"
"144","MotorDown","","point","-3373.281761544602,-2218.642316751988,2319.884955357164","nest_bird","36_4"
"145","MotorDown","","point","-3395.80403322896,-1705.436884761736,7020.020000000004","nest_bird","37_1"
