"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"110","Center07_Beam","","point","-254.9999999999993,-1.165290086646564e-12,1612","nest_bird","5_1"
"111","Center07_Beam","","point","-127.4999999999987,-220.8364779650317,1612","nest_bird","4_1"
"112","Center07_Beam","","point","127.5000000000006,-220.8364779650307,1612","nest_bird","3_1"
"113","Center07_Beam","","point","254.9999999999993,1.06581410364015e-12,1612","nest_bird","2_1"
"114","Center07_Beam","","point","127.4999999999987,220.8364779650317,1612","nest_bird","1_1"
"115","Center06_Wash","","point","-1.06581410364015e-14,0,1651","nest_bird","1_1"
"116","Center05_Wash","","point","-726.637300545661,1258.572723226541,20","nest_bird","6_1"
"117","Center05_Wash","","point","-1453.274601097176,3.380394705383815e-09,20","nest_bird","5_1"
"118","Center05_Wash","","point","-726.6373005515155,-1258.57272322316,20","nest_bird","4_1"
"119","Center05_Wash","","point","726.6373005456602,-1258.572723226541,20","nest_bird","3_1"
"120","Center05_Wash","","point","1453.274601097176,-3.380394705383815e-09,20","nest_bird","2_1"
"121","Center05_Wash","","point","726.6373005515153,1258.57272322316,20","nest_bird","1_1"
"122","Center04_Wash","","point","-456.752922775398,791.1192687525717,20","nest_bird","6_1"
"123","Center04_Wash","","point","-913.5058455507947,-3.144619934486009e-13,20","nest_bird","5_1"
"124","Center04_Wash","","point","-456.7529227753972,-791.1192687525721,20","nest_bird","4_1"
"125","Center04_Wash","","point","456.7529227753976,-791.119268752572,20","nest_bird","3_1"
"126","Center04_Wash","","point","913.5058455507947,3.144619934486009e-13,20","nest_bird","2_1"
"127","Center04_Wash","","point","456.752922775397,791.1192687525722,20","nest_bird","1_1"
"128","Center01_Glass","","point","-96.03964403372535,544.6678871720159,6153.130015505141","nest_bird","18_15"
"129","Center01_Glass","","point","-87.1271387934226,494.1225582345366,5860.84620454492","nest_bird","18_14"
"130","Center01_Glass","","point","-81.1148251745058,460.0250333136203,5567.133835047682","nest_bird","18_13"
"131","Center01_Glass","","point","-77.48322086697203,439.4291818282538,5269.471834426583","nest_bird","18_12"
"132","Center01_Glass","","point","-74.4193857701726,422.0533095454688,4971.387723420203","nest_bird","18_11"
"133","Center01_Glass","","point","-71.67670610178175,406.4988002051049,4672.189618259737","nest_bird","18_10"
"134","Center01_Glass","","point","-69.29830454224091,393.010214680722,4373.899784452195","nest_bird","18_9"
"135","Center01_Glass","","point","-67.24665151950367,381.3747121935536,4074.518539101237","nest_bird","18_8"
"136","Center01_Glass","","point","-65.55408537801429,371.7756926059733,3776.074823673408","nest_bird","18_7"
"137","Center01_Glass","","point","-64.19381819179694,364.061234042957,3476.563246861045","nest_bird","18_6"
"138","Center01_Glass","","point","-63.18737341979084,358.353402105031,3178.017515251804","nest_bird","18_5"
"139","Center01_Glass","","point","-62.51873020470171,354.5613379964975,2878.428438126743","nest_bird","18_4"
"140","Center01_Glass","","point","-62.19653561525683,352.7340816787664,2578.820361981266","nest_bird","18_3"
"141","Center01_Glass","","point","-62.16604760476264,352.5611755783635,2280.000000000005","nest_bird","18_2"
"142","Center01_Glass","","point","-62.16604760476412,352.5611755783632,1980.000000000005","nest_bird","18_1"
"143","Center01_Glass","","point","-423.6764048994778,355.5067150898929,6153.130015505141","nest_bird","16_15"
"144","Center01_Glass","","point","-384.359118617333,322.5155946714489,5860.84620454492","nest_bird","16_14"
"145","Center01_Glass","","point","-357.8359526391302,300.2600158814594,5567.133835047682","nest_bird","16_13"
"146","Center01_Glass","","point","-341.8152241939993,286.8170285519577,5269.471834426583","nest_bird","16_12"
"147","Center01_Glass","","point","-328.2991949325933,275.4757333837306,4971.387723420203","nest_bird","16_11"
"148","Center01_Glass","","point","-316.1999345346276,265.3232484462835,4672.189618259737","nest_bird","16_10"
"149","Center01_Glass","","point","-305.7076775891653,256.5191995131269,4373.899784452195","nest_bird","16_9"
"150","Center01_Glass","","point","-296.6568633606605,248.9246646323259,4074.518539101237","nest_bird","16_8"
"151","Center01_Glass","","point","-289.1901516173261,242.659349562194,3776.074823673408","nest_bird","16_7"
"152","Center01_Glass","","point","-283.1893681184201,237.6240943414875,3476.563246861045","nest_bird","16_6"
"153","Center01_Glass","","point","-278.7494630456467,233.8985716324615,3178.017515251804","nest_bird","16_5"
"154","Center01_Glass","","point","-275.7997608021961,231.4234775681288,2878.428438126743","nest_bird","16_4"
"155","Center01_Glass","","point","-274.3784077065899,230.23082070978,2578.820361981266","nest_bird","16_3"
"156","Center01_Glass","","point","-274.2439106365909,230.1179642677747,2280.000000000005","nest_bird","16_2"
"157","Center01_Glass","","point","-274.2439106365918,230.1179642677735,1980.000000000005","nest_bird","16_1"
"158","Center01_Glass","","point","-553.0702672740169,1.723492459859699e-10,6153.130015505141","nest_bird","14_15"
"159","Center01_Glass","","point","-501.7451951644094,1.554667505843099e-11,5860.84620454492","nest_bird","14_14"
"160","Center01_Glass","","point","-467.1216609602771,-4.149569576838985e-12,5567.133835047682","nest_bird","14_13"
"161","Center01_Glass","","point","-446.2080852675896,-4.973799150320701e-12,5269.471834426583","nest_bird","14_12"
"162","Center01_Glass","","point","-428.5641621469218,-4.916955731459893e-12,4971.387723420203","nest_bird","14_11"
"163","Center01_Glass","","point","-412.7696994278905,-2.103206497849897e-12,4672.189618259737","nest_bird","14_10"
"164","Center01_Glass","","point","-399.0730307297355,-3.552713678800501e-12,4373.899784452195","nest_bird","14_9"
